index,comments,time
27647,[大哭]遗憾过去的遗憾 一辈子的痛楚 快乐的挡板,30天前发布
27648,一天涨了30多万粉,30天前发布
27649,写太好了，一股小说味儿，所以肯定是真事儿，就好像很多真事看起来一股新闻味儿，估计是小说,30天前发布
27650,这个故事好像一篇散文，平凡又高贵。,30天前发布
27651,想起了一年的高考题，《论生逢其时》。其实不论在哪个时代，只要能做到使自己充实，为别人着想，为社会出力，都是在提供自己的价值[鼓掌],30天前发布
27652,"up的视频让我真真切切的感觉到了 才华 二字才华二字配的上你  天才配得上二舅
?(? ? ??)",30天前发布
27653,平凡且伟大,30天前发布
27654,敬二舅,30天前发布
27655,相比于成为人中龙凤，平凡但不平庸的一生，才是千千万万普通人能追求、该追求的一生。（这视频文案写得太好了,30天前发布
27656,有幸在某辅导上看过尊唐的“历史上的今天”栏目，那时候虽然是个高三备考的理科生却也愿意花点时间去旁听尊唐的免费课程，无论是文笔还是独到的见解对于当时沉浸于物化生题海中刷题的我来说算是一种精神粮食了，感谢尊唐，希望能继续做出有深度的视频[打call],30天前发布
27657,从摆渡人，刷到这个的，我认认真真的看完了文字版的，一想到小破站上有视频版的，提头来见，幸好没有错过。真男人从不回头看，我就要成为第二快乐的人[OK],30天前发布
27658,哭了,30天前发布
27659,看完我更焦虑了[doge],30天前发布
27660,就生活在这里，没有完美新世界，没有需要等待的未来，没有要向外界索求的理解，也不需要通过跟谁比较才能判断自己，要做的就是此时，就在此地，就是此身。,30天前发布
27661,[doge],30天前发布
27662,这一篇讲诉可以登上语文试卷了,30天前发布
27663,我们农村老家的树先生去年走了，他是我大伯，也是小时候打针打的,30天前发布
27664,12万人在看[笑哭][打call],30天前发布
27665,视频给我的感觉复杂，最大的感觉就像是看了余华的《活着》一般，但这个视频却是《活着》的happy end，悲观的命运但二舅乐在其中。,30天前发布
27666,文案牛逼,30天前发布
27667,平凡而又动人，深思而又淡然。,30天前发布
27668,人生最大的遗憾的就是遗憾过去的遗憾,30天前发布
27669,泪目…我时常有成为一棵树或者一朵??的想法，却原来我是在羡慕这个世界上第一快乐的人…一直以为遗憾才是人生，原来向前看可以不遗憾。谢谢UP爱您,30天前发布
27670,感觉像在看贾导的电影，源于生活，淡于生活，真实又浪漫，平凡又感动，让人着迷。,30天前发布
27671,我想了很多高贵的词藻想要评价二舅，然后发到朋友圈，后来想想多么高贵且华丽的语句都显得那么单薄，或者说是浅薄，那就让二舅老老实实的陪着姥姥生活在这个老老实实的小村落吧，平凡而伟大着，卑微且高贵着，敬二舅！——来着一个最近有些迷失了的二十五六的年轻人[抱拳],30天前发布
27672,哇……看得好感动,30天前发布
27673,"很好的视频，很好的文案。
希望不要去打扰二舅，给普通人一个安宁。",30天前发布
27674,二舅的生活在我们眼中一地鸡毛，却活成了我们眼中的璀璨人生,30天前发布
27675,文案上阅读理解,30天前发布
27676,感觉每个村子每个乡野都有这样的神人。小时候听说过有个隔壁村精神有问题的人，没上过一天学。喜欢收集些废旧收音机、电视机、电机之类的电器。天天在家鼓捣，就没有他不会修的电子产品，有时候还会用拆下来的电子元件做能收音简易收音机。做一些东西能让小灯泡能发光。,30天前发布
27677,二舅他总有办法,30天前发布
27678,请问这个热搜上的自动播放怎么关掉啊？,30天前发布
27679,请问这个热搜上的自动播放怎么关掉啊？,30天前发布
27680,二舅本该过得更好，如果不是那四针改变了四舅的人生轨迹，我敬佩的就是二舅不怨任何人的乐观态度,30天前发布
27681,前面让我觉得有趣，后面渐渐感动，最后让我又想振奋起来了。,30天前发布
27682,看这拽面条??，像我们附近的,30天前发布
27683,二舅的内心真的很强大，他接受了这个事实，并且适应了这个事实，他们没有怨天尤人也没有责怪那个医生，遇到那个医生也能和他闲聊几句！真的二舅的内心真的太强大了！,30天前发布
27684,哪有什么弯路直路，不过是在求一条生路,30天前发布
27685,建议全文背诵,30天前发布
27686,我的二舅，想你了。,30天前发布
27687,衣戈终于大火了，高兴,30天前发布
27688,[保卫萝卜_哭哭][保卫萝卜_哭哭][保卫萝卜_哭哭][保卫萝卜_哭哭][保卫萝卜_哭哭][保卫萝卜_哭哭],30天前发布
27689,现在对这位树先生比较好奇，啥时候也讲讲？,30天前发布
27690,「你看，二舅总有办法。」,30天前发布
27691,"小孩是小，不是瞎
(感同身受)",30天前发布
27692,"“平凡”的伟大。
不到一分钟就泪目，up主的文案真真好，正哭着又有好笑的话出来，边哭边笑的看完了。
以后没有力量的时候要看看这个视频",30天前发布
27693,12万人在线看 [笑哭],30天前发布
27694,111,30天前发布
27695,"预计1000万人次看了二舅的故事
出大名了",30天前发布
27696,每个村里都有一个好人,30天前发布
27697,只为他没有关系，所以人生这样。,30天前发布
27698,你问我人生的意义？哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,30天前发布
27699,12万正在看，我直接恐怖如斯[保卫萝卜_哭哭],30天前发布
27700,致敬,30天前发布
27701,＂普通人的生活就是这样，不快进一万倍都没法看的.＂,30天前发布
27702,敬二舅,30天前发布
27703,二舅称得上君子！,30天前发布
27704,二舅笑着给了生活两个大嘴巴子,30天前发布
27705,来三连,30天前发布
27706,老病是生死之间的必备演习。,30天前发布
27707,二舅和我爸挺像dw,30天前发布
27708,太好了 昨天就说肯定很多人看,30天前发布
27709,尊唐出品，必是经典[打call],30天前发布
27710,我爷爷就像二舅一样  从村里考上了我们区最好的初中 但是因为家里兄弟多没继续念书 ，就去工地干活了。 因为在北京城里干活没时间回家 我爷爷27.8岁才跟人相亲娶了我奶奶  退休之后我爷爷又跟人学修车给村里人修 ，偶尔也修暖气。 其实我爷爷也不是缺钱，他是村里为数不多有退休金的老人，他就是闲不住。后来奶奶腿不好 需要锻炼，我爷爷就给奶奶做了一院子的健身器，还定自己diy椅子 小床什么的。我爷爷现在看电视，还经常看我爱发明，还有各种体育比赛，运动员和规则他都门儿清。我爷爷年轻时候挺帅的，反正比我爸帅，我我爸我姑都张一个样 像我奶奶??,30天前发布
27711,漫漫长途，慢慢走，慢慢来,30天前发布
27712,平凡人的平凡人生，汇成历史的洪流滚滚向前,30天前发布
27713,看哭了，人生有千百条路，但如何过好自己的一生，不是反复回头徘徊，而是不断往前，排除万难，不断地往前。,30天前发布
27714,"人生是复杂的
悲剧与喜剧的转换往往就在一瞬间
悲才是内核
喜仅是外壳
视角不同
思考不同
敬悲
敬喜
敬人生",30天前发布
27715,太牛了，像看了一本小说，文字真的有穿透人心的力量,30天前发布
27716,[热词系列_泪目][热词系列_三连],30天前发布
27717,"我发布了一篇笔记，快来看看吧
以下是文字版全文  00:00  这是我的二舅，村子里曾经的天才少年； 这是我的姥姥，一个每天都在跳popping的老太太。  他们在这个老屋生活，建它的...
https://www.bilibili.com/h5/note-app/view?cvid=17765257&amp;pagefrom=comment",30天前发布
27718,别人家二舅，我的二舅为了姥爷和姥姥的那点存款，和家里人闹得老死不相往来[酸了],30天前发布
27719,这里是山西,30天前发布
27720,真的很遗憾我没有什么过人的语句来做出留言，我只会说：,30天前发布
27721,普通不是平庸，是世间百态蓬勃的生命力！,30天前发布
27722,看完了，太了不起了真的,30天前发布
27723,@鹤rain,30天前发布
27724,二舅成全了外甥，成了流量之星。希望外甥流量变现之后给二舅点儿股份才是正经事。二舅的精神实则是一个好的IP,30天前发布
27725,活着,30天前发布
27726,好,30天前发布
27727,「老病是生死之间的演习。」,30天前发布
27728,泪目…我时常有成为一棵树或者一朵??的想法，却原来我是在羡慕这个世界上第一快乐的人…一直以为遗憾才是人生，原来向前看可以不遗憾。谢谢UP爱您,30天前发布
27729,让我想起我外公[拥抱],30天前发布
27730,文案绝 事迹绝 可令我更绝的是 二舅那人生履历中铺满的沧桑和年华,30天前发布
27731,科普区up 转型文学区up主？,30天前发布
27732,时代的洪流,30天前发布
27733,致敬二舅,30天前发布
27734,二舅真的很厉害,30天前发布
27735,从wb来的，把欠的三连还了,30天前发布
27736,不知道为啥，看这个视频我心里总会重复两句话：“劳动人民的智慧是伟大的”，“他公平”,30天前发布
27737,致敬二舅,30天前发布
27738,文案让我一度哽咽[支持]视频做的太好了,30天前发布
27739,下定决心，勇敢的向前走吧！不管遇到什么样的困难与挫折，我们都有光明的前途！,30天前发布
27740,我的天，我眼泪为什么止不住[大哭],30天前发布
27741,这个二舅是不是之前拍过纪录片？？  二舅女儿县城房子那里好熟悉     之前看过一个节目故事一样,30天前发布
27742,他明明什么都会，但走不出这个村落。[保卫萝卜_哭哭],30天前发布
27743,看了UP的二舅直播回应，我觉得真的是明智，人的一辈子就这样。他总有他的生活方式，像这样就挺好不必要去打扰。还有就是你二舅真的厉害，啥都会！！！！,30天前发布
27744,热搜[脱单doge],30天前发布
27745,二舅牛逼，up也牛逼,30天前发布
27746,我想应该不是所有人的理想一开始都是有钱吧，可谁杀死了我们最初的理想，华夏从古至今都不是争强好胜，隐忍，知足，日出而作，日落而息这是我们所追求的,30天前发布
27747,看完真的太感动了，向二舅致敬！,30天前发布
27748,平凡，美好，强悍[给心心],30天前发布
27749,惭愧。实在是惭愧。,30天前发布
27750,我有一个爷爷，他只存活在我祖祖婆婆的口中。在七十年代，听说长得特别俊朗，风流倜傥的，人也特别聪明机灵。但是天妒英才，不到30岁就去世了。好想亲眼见一见他，看他是什么样的[拥抱][拥抱],30天前发布
