index,comments,time
0,人往往都是快死的时候 才发现最大的遗憾 就是一直在遗憾过去的遗憾 那么  从现在开始 努力不去创造遗憾吧,3小时前发布
1,以前不知道，现在看来，每个人都是迅哥笔下的祥林嫂[囧],9小时前发布
2,我本来还在想，怎样的视频值大家投650w硬币，看完以后，我只能说，真的值[tv_难过]这个二舅真的太棒了,3天前发布
3,不知道up知道不知道，我们考这个视频的作文了！,4天前发布
4,二舅是个天才啊,4天前发布
5,为啥，只能投两个币！！！！！！！！！！！！！！！！[热],5天前发布
6,那套组合柜  我小时候家里也有一套  简直是一模一样,5天前发布
7,@爱丽摘头日记 激励你考研[doge],5天前发布
8,不知道为什么  看着应该是很开心的文案  但是我的眼泪却忍不住一直在淌,5天前发布
9,令我感到惊讶的是，二舅从来没有去抱怨，从不回头，让他成为一个快乐的人[点赞],6天前发布
10,哭死我算了，现在才看到这个视频[大哭],6天前发布
11,我看到这个视频的时候，就知道，硬币已经留不住了,6天前发布
12,心灵鸡汤啊，听的很舒服，但不是人人都能像二舅那样豁达[笑哭],6天前发布
13,作者是爱二舅的,6天前发布
14,真的很感动,7天前发布
15,泪目了，真的夺眶而出[奥比岛_委屈],7天前发布
16,币大于赞系列代表[打call][打call],7天前发布
17,"我们不歌颂苦难
但我们歌颂在这个悲惨世界中活出光的普通人
敬二舅",7天前发布
18,现实版的活着！敬二舅！,7天前发布
19,恐怖的投币量,7天前发布
20,....。,7天前发布
21,建议拍成电影[doge],7天前发布
22,感谢您，让我可以多写一篇心得[藏狐],7天前发布
23,语文老师上课给我们看的[热词系列_知识增加],7天前发布
24,可恶，怎么只能投两个币？？？,7天前发布
25,他的事迹是挺感人的因病痛放弃了自己的前程，然后努力的谋生抚养子女和家庭，可是这你代表什么，很多人不都是歇斯里底的生活吗？本来生活就是这样有许多艰辛每个人走的路都不同没必要关注其他人的生活，如果这感动那些为生活家庭奋斗的工人农民或者其他职业也一样伟大，所以网上说up主沽名钓誉一点不假,7天前发布
26,没币投了怎么办[笑哭],8天前发布
27,二舅的精神太棒了[大哭]希望大家都成为二舅[大哭]希望我们国家有很多二舅[大哭][大哭][大哭]（,8天前发布
28,想知道up是哪里人，总感觉很亲切[酸了],8天前发布
29,没币了 先欠着 明天再来[保卫萝卜_哭哭],8天前发布
30,好样的二舅!！,9天前发布
31,少见币比赞多的视频[笑哭],9天前发布
32,微笑着去唱生活的歌词 不要抱怨生活给予了太多磨难 不要抱怨生活中有太多曲折——史铁生,9天前发布
33,感动!热泪盈眶!,9天前发布
34,我们学校一模作文题目就是二舅,9天前发布
35,????????????,9天前发布
36,做的很好，但希望能再出一个二舅自己讲述自己的人生的视频,9天前发布
37,每个人心里都有一个二舅,9天前发布
38,放弃精神内耗吧，多跟二舅学学(指自己)[热词系列_三连],9天前发布
39,既然生活就是这样，那就在笑对生活吧,10天前发布
40,所以不要抱怨生活了，积极工作加班吧[打call],10天前发布
41,1000人在看,10天前发布
42,"明天又要上班了[大哭]
再来看一遍，没有什么过不去的坎[奋斗]",10天前发布
43,结局的配乐太棒了！,11天前发布
44,有的时候，有的时候，有的时候[拜年纪2022_摸鱼],11天前发布
45,牛,11天前发布
