,0
0,"1658707712, 200.299, 贴个《名牌》上去"
1,"1658709089, 308.414, 至少，他有过一段幸福的爱情。感受过小家的温馨，也不失为不幸中的万幸。"
2,"1658713179, 157.79, 首长：谢谢嗷"
3,"1658715738, 158.974, 首长搓背搓得很好"
4,"1658718647, 103.485, 这个情节太真实了，说不上是人情，无奈还是看开"
5,"1658722159, 0.0, 平凡而伟大"
6,"1658722328, 0.0, 一键三连数疯狂上涨"
7,"1658722976, 101.591, 二舅和命运和解了"
8,"1658724018, 0.099, 我怎么这么卡"
9,"1658724135, 0.0, 恭喜发现宝藏"
10,"1658724533, 0.0, 币比赞多系列"
11,"1658724815, 151.494, 卧槽二舅好牛逼"
12,"1658727828, 0.0, 敬二舅"
13,"1658728675, 0.025, ''世界以痛吻我，我却报之以歌。''"
14,"1658728703, 0.065, ''世界以痛吻我，我却报之以歌。''"
15,"1658728737, 0.0, ''世界以痛吻我，我却报之以歌。''"
16,"1658730183, 159.339, 首长:谢谢夸奖"
17,"1658731068, 312.899, 另一个版本的《活着》"
18,"1658731805, 0.155, 咱二舅（）"
19,"1658731856, 0.0, 再来一遍"
20,"1658732065, 0.0, 恭喜你发现宝藏"
21,"1658735495, 314.243, 以前结婚没有恋爱，女的不喜欢原配，后来发现二舅是自己喜欢的"
22,"1658737595, 0.277, 添 柴 少 年"
23,"1658737871, 305.166, 卧槽，现实果真是现实"
24,"1658738930, 195.751, 那时候的“上海”就相当于现在衣服上的logo"
25,"1658740059, 0.0, 赶紧去投币吧"
26,"1658741209, 0.005, 杀死那个……农村人"
27,"1658744205, 0.0, 我看到了人生的全部意义"
28,"1658749879, 179.046, 哇二舅好牛啊 真的好爱家人"
29,"1658750726, 0.282, 向二舅致敬！"
30,"1658750737, 183.904, 关键二舅是看了三天学会的啊！"
31,"1658751873, 0.0, 欢迎来到币比赞多系列"
32,"1658753299, 0.0, 恭喜你发现宝藏！"
33,"1658756136, 0.165, 比现在的电影拍的好"
34,"1658759834, 0.186, 恭喜你，发现了宝藏"
35,"1658760322, 202.839, 请给我贴一个梦巴黎"
36,"1658764578, 0.0, 我第一次见到如此恐怖的硬币数"
37,"1658767211, 208.019, OK"
