,danmu,time
0, 贴个《名牌》上去, 200.299
1, 至少，他有过一段幸福的爱情。感受过小家的温馨，也不失为不幸中的万幸。, 308.414
2, 首长：谢谢嗷, 157.79
3, 首长搓背搓得很好, 158.974
4, 这个情节太真实了，说不上是人情，无奈还是看开, 103.485
5, 平凡而伟大, 0.0
6, 一键三连数疯狂上涨, 0.0
7, 二舅和命运和解了, 101.591
8, 我怎么这么卡, 0.099
9, 恭喜发现宝藏, 0.0
10, 币比赞多系列, 0.0
11, 卧槽二舅好牛逼, 151.494
12, 敬二舅, 0.0
13, ''世界以痛吻我，我却报之以歌。'', 0.025
14, ''世界以痛吻我，我却报之以歌。'', 0.065
15, ''世界以痛吻我，我却报之以歌。'', 0.0
16, 首长:谢谢夸奖, 159.339
17, 另一个版本的《活着》, 312.899
18, 咱二舅（）, 0.155
19, 再来一遍, 0.0
20, 恭喜你发现宝藏, 0.0
21, 以前结婚没有恋爱，女的不喜欢原配，后来发现二舅是自己喜欢的, 314.243
22, 添 柴 少 年, 0.277
23, 卧槽，现实果真是现实, 305.166
24, 那时候的“上海”就相当于现在衣服上的logo, 195.751
25, 赶紧去投币吧, 0.0
26, 杀死那个……农村人, 0.005
27, 我看到了人生的全部意义, 0.0
28, 哇二舅好牛啊 真的好爱家人, 179.046
29, 向二舅致敬！, 0.282
30, 关键二舅是看了三天学会的啊！, 183.904
31, 欢迎来到币比赞多系列, 0.0
32, 恭喜你发现宝藏！, 0.0
33, 比现在的电影拍的好, 0.165
34, 恭喜你，发现了宝藏, 0.186
35, 请给我贴一个梦巴黎, 202.839
36, 我第一次见到如此恐怖的硬币数, 0.0
37, OK, 208.019
38, 《The great 二舅》, 0.045
39, 我愿称它为流媒体时代下，2022年最好的视频化散文, 0.0
40, 怎么样才能多投币, 0.05
41, up当代鲁迅, 0.002
42, 太棒了 我因此回答了60+问题, 0.0
43, 二舅加油！, 0.256
44, 很好看, 34.269
45, 再看亿遍！, 0.0
46, 这才是真正的镇站之宝, 0.0
47, 二舅总有办法, 194.897
48, 二舅不落魄也不可怜 ！！, 0.0
49, 年度宝藏视频！！直接封神之作, 0.005
50, 敬二舅, 0.0
51, 这是井陉吗？或者说是石家庄南部地区？山西东南部地区？, 0.0
52, 二舅啊，二舅诶 你是十年不遇的天才 你拄起了拐 生活不是电影 故事从这里展开 ……, 0.0
53, 敬二舅, 0.0
54, 《人生海海》的感觉, 0.0
55, OK！, 211.05
56, 世界以痛吻我，我却报之以歌。, 0.0
57, 敬二舅, 0.204
58, 《卑微地伟大着》, 243.962
59, 为小侄子点赞, 0.026
60, 】」, 0.0
61, 已经看了三遍, 0.255
62, 这个故事告诉我们：只要你不考虑在北上广深买房子，那你生活就会很快乐, 0.0
63, 敬二舅, 0.0
64, 《北京人很会搓背》, 157.217
65, 111, 0.0
66, 应该拍成电影，致敬二舅！, 0.0
67, 致敬二舅！, 0.0
68, 是中国的《活着》，与美国的《阿甘正传》，以及俄罗斯的《我们一家人》的混搭, 0.0
69, 这段有种余华的感觉, 54.705
70, 本视频要求全文背诵, 0.705
71, 致敬, 0.0
72, 恭喜破圈, 0.284
73, 敬二舅, 0.261
74, 三连, 0.0
75, 敬二舅, 0.058
76, 二舅刷抖音哈哈哈, 0.0
77, 币比赞多系列, 0.0
78, 建议反复观看, 0.114
79, 看哭了, 0.159
80, 敬二舅, 0.0
81, 再来亿遍, 0.0
82, 再来亿遍, 0.0
83, 为了给你点赞我才登陆的, 0.0
84, 欢迎来到币比赞多系列, 0.0
85, 17:41分有人吗, 296.628
86, 遗憾才是生命主旨（我理应活的更丰富, 4.249
87, 我就不三连了啊，先去投俩币再点赞收藏, 0.0
88, 看第一遍懵懂，第二遍触动，第三遍敬仰、感动, 0.0
89, 第二遍了谁懂, 0.0
90, 致敬二舅！, 0.103
91, 14an, 0.0
92, 敬二舅, 0.0
93, 顶, 0.0
94, 敬二舅, 0.245
95, 在二舅面前，我如此渺小。, 0.263
96, 第一次见那么多人观看, 0.0
97, 敬二舅, 0.252
98, 敬二舅, 0.0
99, 入站必刷, 0.0
100, 逻辑好像不太通啊，大兄弟, 0.0
101, 敬二舅, 0.0
102, 敬二舅, 0.028
103, 巅峰之作, 0.0
104, 平凡而伟大, 0.01
105, 14W+就离谱, 32.899
106, 总是忘不了二舅, 0.0
107, 从官媒过来的, 0.0
108, 拉帮套, 284.299
109, 抖音有人盗录, 0.045
110, 每周必看, 0.265
111, 入站必刷, 0.225
112, 手中的枪——“低语”由4部分组成，填有4发子弹，分别叫：卓越，绝妙，精彩，非凡。?, 5.099
113, 生活中有意外，也要继续生活, 0.0
114, 我的天才二舅, 0.01
115, 你火了压, 0.015
116, 牛, 0.11
117, 第二个一亿播放可不可以！?, 0.0
118, 为二舅献上人生第一个一键三连, 0.22
119, “直视他人的不幸能使人鼓起勇气面对自己的遭遇”, 0.252
120, 《比活着更活着》, 0.074
121, 二舅他不仅仅是一个人，这个词更像是一个符号，代表着是一种坚韧，顽强，淡泊，执着的灵魂, 0.0
122, 菜根谭推荐一下，随遇而安，逆来顺受，不思过往，不念将来。, 0.0
123, 尊唐NB！, 0.283
124, ---, 0.0
125, 世界上只有一种真正的英雄主义，那就是在认识生活的真相后依然热爱生活。, 1.595
126, 他曲着的腿上，坐的是和老人一模一样的神，和整个村子守望相助, 0.0
127, ？, 0.0
128, 第二遍了, 0.0
129, 《最长的电影》, 0.0
130, 币比赞多, 0.113
131, 敬二舅, 0.0
132, “不要光赞美高耸的山峰，平原和丘陵也一样不朽”, 171.509
133, 感谢二舅的故事，突然有了继续生活下去的动力。, 0.0
134, 敬二舅, 53.017
135, 2022年最伟大的作品, 0.025
136, 敬二舅, 0.0
137, 兄弟们，4刷了, 0.0
138, 敬二舅, 0.0
139, 敬二舅, 0.0
140, 二舅与姥姥的故事由此开始..., 0.0
141, 致敬二舅, 0.0
142, 火了赞我, 0.0
143, 希望大家都能早日拔出心中的那根刺?, 0.021
144, ''世界以痛吻我，我却报之以歌。'', 0.0
145, 入站必刷入站必刷入站必刷, 0.0
146, 17W, 0.0
147, 敬二舅, 0.0
148, 他公平, 119.897
149, 敬二舅！, 0.0
150, 敬二舅, 0.0
151, 三刷, 0.0
152, 我爷爷也是很厉害，什么活都会干，乡里大小事都会找来帮忙，只是没有好的运气，生病去世了，很遗憾没能见到爷爷, 0.0
153, 敬二舅, 0.0
154, 二刷, 0.0
155, 敬二舅, 0.0
156, 真的好看, 0.0
157, 敬二舅, 58.896
158, 敬二舅, 0.0
159, ！, 0.0
160, 敬二舅, 0.0
161, 视频真的太火了, 0.004
162, 视频真的太火了, 0.004
163, 视频真的太火了, 0.004
164, 看看谁还没有三连谁还没有三连到底是谁还没有三连, 0.265
165, 为什么我没有声音的, 0.0
166, 为什么我没有声音的, 0.0
167, 语言已经失去了它应有的能力，除了掌声与热泪再无其他可表达我的心情, 0.265
168, 敬二舅, 0.108
169, 敬二舅！！！[666]谢谢作者拍摄与分享，你写的关于“遗憾”的结语，很受用！！, 0.0
170, 敬二舅, 0.0
171, 在其他地方看过，特意来b站一键三连的, 0.0
172, 他批判现在，却想回到过去, 0.0
173, 三刷, 0.0
174, 有没有导演比较心动的，搞一部《我的二舅》电视剧。可能估计现在这年头没人愿意拍这种生活片吧, 0.0
175, 一喂顺风车, 0.205
176, 三刷了, 0.02
177, 一刷给视频，二刷给二舅。三刷给网友, 0.037
178, 现在社会太卷了，搞点反卷的内容很舒适, 0.0
179, 现在社会太卷了，搞点反卷的内容很舒适, 0.0
180, 所以二舅有你，他注定要名扬天下，无论以何种方式～, 0.0
181, 敬二舅, 0.246
182, 我是老粉, 0.021
183, 敬二舅！, 0.0
184, 我要这币有何用, 0.193
185, 此视频必火!, 0.0
186, 来二刷了, 0.182
187, 看了好几次了，真的很感人, 0.0
188, 一句话便是带过了二舅的小半辈子, 332.793
189, 建议入选豆瓣Top 250, 0.0
190, 敬二舅, 0.0
191, 我哭了, 0.0
192, 他公平, 119.629
193, 这播放量，猛, 0.0
194, 12W, 0.0
195, 敬二舅, 0.0
196, 神知道我看了多少遍, 0.022
197, 敬二舅！, 0.0
198, 请收下我的膝盖, 0.0
199, 敬二舅, 0.0
200, 敬二舅, 0.0
201, 敬二舅, 0.0
202, 从新闻上来的, 0.0
203, 公平！, 119.676
204, 1啊, 0.0
205, 哭唧唧, 0.0
206, 敬二舅, 100.629
207, ！, 0.0
208, Ok, 208.492
209, 致敬二舅, 0.0
210, 太感人了！平凡中的伟大。, 0.019
211, 二舅也治好了我的精神内耗, 0.0
212, 敬二舅, 0.0
213, 在的，回话了, 0.0
214, 致敬！！！, 0.0
215, 有没有可能拍一集 刚刚, 0.0
216, 敬二舅, 0.0
217, 看哭了, 0.0
218, 敬二舅, 0.0
219, 太牛了, 0.0
220, 向二舅致敬！, 0.0
221, 加油加油加油YESyesyes, 0.0
222, 又好哭又好笑, 0.0
223, 凤凰男 医疗事故 空巢山村 不可悲吗？！, 0.0
224, 能不能破亿！, 0.0
225, 现在独生子女没有了七大姑八大姨，该高兴还是该悲哀, 0.0
226, 拿奥斯卡最佳微电影奖了。, 0.0
227, 币比赞多系列！！, 0.145
228, 敬二舅, 0.0
229, 敬二舅, 0.0
230, 致敬二舅, 0.278
231, 敬二舅!, 0.0
232, 敬二舅, 0.063
233, 公平, 123.382
234, ^_^, 0.0
235, 十万人正在看, 0.0
236, 致敬二舅，以及像他一样普通、平凡而又散发着人性光芒的人。, 0.0
237, 大家奋斗不是为了像二舅一样吃苦，取得胜利是精神和物质的双重丰收，而不是无奈的自我升华。, 0.0
238, 敬二舅！, 0.0
239, 二舅，其实就是每一个勤劳朴实顽强平凡的父母的缩影。, 0.0
240, 敬二舅, 0.194
241, 敦一敦伟大的友谊, 0.291
242, 强烈要求进入必看视频, 0.0
243, 敬二舅, 3.225
244, 歌颂苦难，非啥即啥, 0.0
245, 敬二舅, 0.0
246, 敬二舅, 0.0
247, 敬二舅, 0.185
248, 敬二舅, 0.0
249, 敬二舅, 0.0
250, 大家注意看，上面都是几十块的，有的只有几块钱（！, 237.004
251, 忽然觉得现在给爱情贴的标签好简单 人的情感那儿说的清楚, 328.699
252, 八万人与我同在, 0.0
253, 美化苦难就是吃人, 0.0
254, 不要美化苦难, 0.0
255, 啊                                                                                                这, 0.289
256, 敬二舅, 0.0
257, 恭喜你发现镇站之宝, 0.0
258, 致敬二舅, 0.0
259, 你精神内耗，是因为真有人骑在你头上作威作福, 0.0
260, 411, 0.0
261, 看完这个视频我想起一句话那就是这个世界只有一种英雄主义，就是认清真相之后依然热爱生活, 0.04
262, 敬二舅, 0.0
263, 建议成为入站必刷, 0.0
264, 敬二舅, 0.114
265, 入站必刷, 0.185
266, 8.8万＋的人都出来！, 0.0
267, 我二舅整挺好, 0.106
268, 老首长也是从人民中来啊, 150.819
269, 见证二舅打破全站投币量记录, 0.106
270, 这背影，潇洒的不得了！！, 324.261
271, 敬二舅, 64.867
272, 船载石致敬, 0.165
273,  敬二舅, 35.037
274, 敬二舅, 31.236
275, 欢迎观看2022年b站最佳视频, 0.0
276, 敬二舅, 0.0
277, 敬二舅, 59.563
278, 开头这片段太有意思了, 0.0
279, 三刷了, 0.286
280, 敬二舅, 0.206
281, B站之王，没有之一, 0.071
282, 敬二舅, 20.419
283, 敬二舅, 0.0
284, 这个视频很可能，变成点赞量和硬币量最多的视频, 0.105
285, 先投币为敬, 0.0
286, 二舅, 0.028
287, 敬二舅, 41.705
288, 敬二舅, 0.02
289, 我的天，七百万, 0.149
290, ok, 208.328
291, 致敬二舅, 0.0
292, 敬二舅, 27.498
293, 敬二舅, 0.0
294, 仙人跳：指一种诈财的圈套, 314.701
295, 敬二舅, 0.0
296, 敬二舅, 0.0
297, 拉帮套：指原配丈夫身患恶疾无法支持家庭收入而不得不让妻子找人来支撑，在五六十年代极为猖獗, 314.853
298, 二舅的真实想法呢，哪怕说句话也好啊。, 0.0
299, 这视频get到了我的点，我父亲他们几兄弟，我母亲她的几个兄弟不就是这样的人么, 0.0
300, 老师老师, 0.0
301, 敬二舅, 33.922
302, 看了好几遍啦啦啦啦啦啦, 0.0
303, 尊唐, 0.0
304, 低保呢？农合呢？有没有？, 0.0
305, 敬二舅, 0.0
306, 敬二舅, 0.0
307, 弹幕, 0.276
308, 四天0.3亿播放量，就离谱, 0.0
309, 敬二舅, 0.0
310, 要愤怒，不要沉默, 0.0
311, 敬二舅, 0.225
312, 我大舅在家人群里发了这个视频, 0.0
313, 你好poping老太太, 354.148
314, 宝贝我来看了, 0.021
315, 敬二舅, 0.0
316, 对不起，第一次看到这个视频我划走了，现在我回来了, 3.991
317, 敬二舅, 37.579
318, 希望这视频的播放不会引来一些别有用心的人，打扰二舅宁静的生活。, 0.0
319, 致敬二舅, 0.0
320, 3000万！, 0.0
321, 一天不看浑身难受, 0.0
322, 敬二舅, 0.0
323, 敬二舅, 0.0
324, 3, 0.0
325, 敬二舅, 0.0
326, 超豪华OK？二舅内心很可爱, 204.259
327, 致二舅, 0.0
328, 币比赞多系列, 0.108
329, 哭了哭了, 0.0
330, 欢迎来到币比赞多系列, 0.0
331, 敬二舅, 0.145
332, 姥姥年纪大了身体很多部位不自觉的抖动，像是在跳poping，很可爱的形容, 0.119
333, 我以为他要说二舅后来创办了上海牌, 195.277
334, 敬二舅, 0.0
335, 蚌, 0.0
336, 武训, 0.0
337, 致敬二舅, 0.0
338, 敬二舅, 0.0
339, 蚌, 0.105
340, 敬二舅, 41.383
341, 还真是超豪华ok牌, 202.652
342, 币比赞多系列！, 0.0
343, 敬二舅, 11.139
344, 致敬二舅, 0.0
345, 首长好=首长搓背很好, 162.205
346, 敬二舅, 0.0
347, 敬二舅, 0.0
348, 二舅的针 是什么针？, 0.265
349, 敬二舅, 0.095
350, 越发的感觉在看余华的书, 330.558
351, 苦难无法治愈苦难，二舅苦难的根源是什么, 0.0
352, 我妈好像是另一个二舅, 0.0
353, 敬二舅, 27.379
354, 敬二舅, 32.57
