time,Unnamed: 0,danmu_y
0,204.8744186,0.626842517
0.002,41,0.978096529
0.004,162,0.499786704
0.005,37.5,0.924254995
0.01,109,0.583347633
0.015,115,0.391383654
0.019,210,0.995776661
0.02,232,0.486883609
0.021,213,0.477515749
0.022,196,0.841405026
0.023,661,0.990261074
0.025,74,0.879157879
0.026,59,0.91763614
0.028,194,0.486883609
0.037,177,0.717550342
0.04,261,0.999996595
0.045,73.5,0.304960027
0.05,40,0.363076424
0.058,75,0.473767218
0.063,232,0.473767218
0.065,14,0.996407646
0.071,281,0.830570448
0.074,120,0.73365019
0.095,349,0.473767218
0.099,8,0.298648649
0.103,90,0.843695179
0.105,311.5,0.499404271
0.106,268,0.660154113
0.108,248,0.71973637
0.11,116,0.625
0.113,130,0.909601849
0.114,171,0.586277914
0.119,332,0.877968456
0.145,279,0.696102059
0.149,289,0.356769829
0.155,18,0.447678459
0.159,79,0.753901246
0.165,152.5,0.821471108
0.182,186,0.162207404
0.185,256,0.473767218
0.186,34,0.96797374
0.193,184,0.473767218
0.194,240,0.473767218
0.204,57,0.473767218
0.205,175,0.456734631
0.206,280,0.473767218
0.22,118,0.801104697
0.225,313,0.421946156
0.233,621,0.16250523
0.245,94,0.473767218
0.246,181,0.473767218
0.252,108,0.731866508
0.255,61,0.858814517
0.256,43,0.895319167
0.261,73,0.473767218
0.263,95,0.920746465
0.265,197.25,0.691284648
0.276,307,0.750062423
0.277,22,0.697194647
0.278,230,0.843695179
0.282,29,0.863053056
0.283,123,0.794597261
0.284,72,0.367424321
0.285,356,0.473767218
0.286,279,0.5
0.289,255,0.526232782
0.291,241,0.901827144
0.305,424,0.70953619
0.343,760,0.974066029
0.49,549,0.362418425
0.585,763,0.160002228
0.677,597,0.187376596
0.705,70,0.957810652
0.845,502,0.999996286
0.893,727,0.94738502
0.932,607,0.578895795
0.945,447,0.219370664
0.979,422,0.473767218
1.008,357,0.526232782
1.02,421,0.46434874
1.166,428,0.137517838
1.176,444.5,0.751707222
1.353,513,0.870362069
1.404,644,0.473767218
1.503,649,0.473767218
1.593,757,0.367424321
1.595,125,0.999969278
1.676,650,0.315714479
1.698,557,0.5
1.699,544,0.850001507
1.825,427,0.997937095
1.92,550,0.544345633
2.087,762,0.610887441
2.145,431,0.113747713
2.259,640,0.476804124
2.419,669,0.998693219
2.426,432,0.280145998
2.427,490,0.336248188
2.725,410,0.999981627
2.761,771,0.826086957
2.776,504,0.5
3.225,243,0.473767218
3.545,712,0.473767218
3.559,568,0.75
3.598,647,0.473767218
3.991,316,0.339951681
4.002,725,0.843695179
4.028,751,0.977167435
4.15,481,0.655862821
4.249,86,0.946338409
4.294,600,0.770610096
4.34,528,0.729795391
4.539,748,0.526232782
4.743,471,0.473767218
4.963,770,0.98388808
5.022,563,0.562984597
5.099,112,0.970944267
5.299,570,0.909601849
5.431,401,0.473767218
5.45,761,0.573452458
5.579,701,0.803810711
5.619,530,0.473767218
5.699,690,0.126723241
5.855,534,0.5
6.137,494,0.635429541
6.335,488,0.473767218
6.415,394,0.993984399
6.459,700,0.828649949
6.524,478,0.5
6.642,366,0.5
6.921,475,0.904761905
6.979,722,0.807936477
7.197,411,0.999864605
7.306,425,0.621061745
7.479,388,0.368031125
7.583,642,0.544575917
7.664,681,0.843695179
8.119,440,0.473767218
8.299,721,0.615208075
8.392,378,0.5
8.692,606,0.99920177
8.711,707,0.297875297
9.426,755,0.473767218
9.548,454,0.473767218
9.748,673,0.473767218
10.049,395,0.473767218
10.073,491,0.473767218
10.339,484,0.473767218
10.351,379,0.631673951
10.762,623,0.258849813
10.795,400,0.473767218
10.874,643,0.473767218
10.947,772,0.473767218
10.979,714,0.473767218
11.017,371,0.750062423
11.019,437,0.5
11.139,343,0.473767218
11.305,383,0.473767218
11.625,396,0.143392411
11.641,380,0.473767218
11.658,474,0.473767218
12.423,605,0.473767218
12.906,709,0.473767218
13.082,729,0.473767218
13.579,529,0.5
13.62,429,0.473767218
13.882,697,0.750062423
14.452,442,0.473767218
14.659,540,0.473767218
14.673,556,0.447678459
14.939,659,0.526232782
15.072,524,0.473767218
15.12,620,0.473767218
15.418,583,0.473767218
15.459,456,0.473767218
15.485,672,0.803110875
15.517,520,0.526232782
15.699,436,0.473767218
15.778,645,0.5
15.818,554,0.5
15.839,759,0.473767218
15.957,703,0.473767218
16.233,667,0.473767218
16.379,464,0.843695179
16.479,633,0.8
16.939,565,0.648270633
17.05,674,0.473767218
17.189,641,0.473767218
17.502,632,0.473767218
17.681,497,0.473767218
17.799,611,0.473767218
18.126,735,0.473767218
18.139,584,0.473767218
18.458,614,0.473767218
18.459,470,0.473767218
18.579,581,0.999789639
18.585,407,0.473767218
18.642,483,0.473767218
18.765,694,0.473767218
18.879,730,0.843695179
19.019,629,0.473767218
19.85,399,0.473767218
19.954,476,0.854056104
20.177,656,0.473767218
20.419,282,0.473767218
20.739,702,0.971504448
20.939,460,0.473767218
20.999,555,0.634048304
21.553,653,0.473767218
22.059,637,0.473767218
22.099,636,0.473767218
22.782,459,0.473767218
22.804,412,0.473767218
23.022,752,0.95174827
23.286,522,0.473767218
23.305,457,0.473767218
23.599,415,0.473767218
23.761,511,0.44599044
23.939,747,0.473767218
24.201,587,0.473767218
24.203,652,0.688372771
24.68,518,0.473767218
24.694,617,0.473767218
24.819,419,0.473767218
25.233,551,0.473767218
25.297,553,0.473767218
25.31,430,0.458597949
25.564,547,0.473767218
25.699,514,0.473767218
26.037,492,0.473767218
26.039,438,0.473767218
26.295,655,0.473767218
26.791,728,0.5
26.822,739,0.473767218
26.997,397,0.473767218
27.172,477,0.473767218
27.283,372,0.473767218
27.299,487,0.27078071
27.379,353,0.473767218
27.498,292,0.473767218
27.594,500,0.473767218
27.774,687,0.473767218
28.259,531,0.473767218
28.299,668,0.875
28.382,744,0.671717172
28.53,559,0.473767218
28.539,569,0.473767218
28.768,634,0.473767218
29.034,503,0.473767218
29.073,740,0.473767218
29.158,448,0.535714286
29.736,628,0.473767218
30.068,466,0.473767218
30.23,750,0.473767218
30.838,631,0.473767218
30.859,489,0.473767218
30.913,538,0.023209547
31.236,274,0.473767218
31.538,392,0.473767218
31.581,479,0.959632877
31.742,409,0.999949746
31.978,715,0.473767218
32.002,420,0.473767218
32.57,354,0.473767218
32.899,105,0.347790517
32.939,560,0.473767218
33.008,364,0.473767218
33.422,756,0.949231734
33.787,468,0.473767218
33.922,301,0.473767218
34.006,588,0.473767218
34.269,44,0.820453311
34.332,726,0.473767218
34.961,408,0.473767218
35,585,0.5
35.037,273,0.473767218
36.218,567,0.473767218
36.283,638,0.473767218
36.399,469,0.975156424
36.719,391,0.473767218
37.064,523,0.473767218
37.579,317,0.473767218
37.986,743,0.473767218
38.405,501,0.473767218
38.442,381,0.473767218
40.381,516,0.252981505
41.383,340,0.473767218
41.705,287,0.473767218
43.736,406,0.321936842
44.002,505,0.843695179
