,0,,,,,,,,x,y
0,7月25日,5496,5496,5496,,,,,0,134.7711411
1,7月26日,13293,18789,18789,,,,,0.002,0.978096529
2,7月27日,17692,36481,36481,,,,,0.004,1.499360111
3,7月28日,7751,44232,44232,,,,,0.005,1.848509989
4,7月29日,1816,46048,46048,,,,,0.01,1.166695267
5,7月30日,74,46122,46122,,,,,0.015,0.391383654
6,7月31日,38,46160,46160,,,,,0.019,0.995776661
7,8月1日,81,46241,46241,,,,,0.02,0.973767218
8,8月2日,32,46273,46273,,,,,0.021,1.432547248
9,8月3日,8,46281,46281,,,,,0.022,0.841405026
10,8月4日,20,46301,46301,,,,,0.023,0.990261074
11,8月5日,2,46303,46303,,,,,0.025,1.758315757
12,8月6日,10,46313,46313,,,,,0.026,0.91763614
13,8月7日,14,46327,46327,,,,,0.028,0.973767218
14,8月8日,12,46339,46339,,,,,0.037,0.717550342
15,8月9日,12,46351,46351,,,,,0.04,0.999996595
16,8月10日,13,46364,46364,,,,,0.045,0.609920055
17,8月11日,9,46373,46373,,,,,0.05,0.363076424
18,8月12日,11,46384,46384,,,,,0.058,0.473767218
19,8月13日,4,46388,46388,,,,,0.063,0.473767218
20,8月14日,5,46393,46393,,,,,0.065,0.996407646
21,8月15日,4,46397,46397,,,,,0.071,0.830570448
22,8月16日,9,46406,46406,,,,,0.074,0.73365019
23,8月17日,4,46410,46410,,,,,0.095,0.473767218
24,8月18日,12,46422,46422,,,,,0.099,0.298648649
25,8月19日,5,46427,46427,,,,,0.103,0.843695179
26,8月20日,4,46431,46431,,,,,0.105,0.998808542
27,8月21日,2,46433,46433,,,,,0.106,1.320308227
28,8月22日,1,46434,46434,,,,,0.108,1.439472739
29,8月23日,0,46434,46434,,,,,0.11,0.625
30,8月24日,0,46434,46434,,,,,0.113,0.909601849
31,8月25日,2,46436,46436,,,,,0.114,1.172555828
,,,,,,,,,0.119,0.877968456
,,,,,,,,,0.145,1.392204118
,,,,,,,,,0.149,0.356769829
,,,,,,,,,0.155,0.447678459
,,,,,,,,,0.159,0.753901246
,,,,,,,,,0.165,1.642942217
,,,,,,,,,0.182,0.162207404
,,,,,,,,,0.185,0.947534436
,,,,,,,,,0.186,0.96797374
,,,,,,,,,0.193,0.473767218
,,,,,,,,,0.194,0.473767218
,,,,,,,,,0.204,0.473767218
